Open,Closed,Highest,lowest,Timestamp,Trading volume
178.57,162.6,179.24,162.37,1661486400000,780250
160.2,158.01,163.38,157.67,1661745600000,505827
159.6,154.68,160.39,151.82,1661832000000,514581
153.84,150.94,155.4,149.5851,1661918400000,586642
142.09,139.37,143.8,132.7021,1662004800000,1297073
141,136.47,141.71,135.91,1662091200000,703848
137.31,134.65,137.79,133.51,1662436800000,501363
135.63,137.14,138.38,133.46,1662523200000,432484
134.59,139.9,140.08,133.69,1662609600000,479836
141.57,143.87,144.74,141.26,1662696000000,434106
143.69,145.05,145.47,141.98,1662955200000,417969
138.02,131.31,139.22,130.99,1663041600000,791618
132.54,131.28,132.8999,129.13,1663128000000,578985
130.152,129.29,132.3299,127.9,1663214400000,501744
127.415,131.98,132.12,126.17,1663300800000,528754
130.12,133.82,134.63,130.1,1663560000000,443331
132.145,131.76,134.8276,130.57,1663646400000,419546
132.13,132.61,140.31,131.1,1663732800000,632826
130.7,125.61,131.4897,124.28,1663819200000,659380
124.2,125.16,126.11,122.57,1663905600000,565372
124.91,122.28,126.59,122.14,1664164800000,454184
125.07,124.13,127.36,122.58,1664251200000,452229
124.1,127.36,128.23,123.5386,1664337600000,437464
124.48,122.2,125,119.4601,1664424000000,485217
120.87,121.39,126.33,120.75,1664510400000,460956
123.47,125.12,126.78,121.05,1664769600000,423055
128.79,131.67,132.2,128.79,1664856000000,460386
129.107,132.09,133.21,126.21,1664942400000,397041
132.2,131.3,136.56,131.03,1665028800000,466962
125.05,120.76,126.7,120.22,1665115200000,564662
120.37,116.7,121.2432,114.0812,1665374400000,585104
115.61,115.86,118.46,112.83,1665460800000,513890
115.79,115,117.35,113.45,1665547200000,367403
109.71,119.6,120.7799,108.13,1665633600000,627985
120.57,112.27,121.11,112.04,1665720000000,527041
115.18,118.88,119.48,115.17,1665979200000,457339
123.44,119.67,124.92,116.18,1666065600000,464990
118.79,120.51,123.5,118.34,1666152000000,353213
121.13,121.94,127.69,121.05,1666238400000,478080
120.982,124.66,124.98,118.87,1666324800000,423472
125.08,125.99,127.1,120.64,1666584000000,413721
126.935,132.61,133,126.64,1666670400000,423344
128.69,128.96,133.88,127.08,1666756800000,450250
136.3,131.76,138.38,131.22,1666843200000,529598
131.04,138.34,138.5,130.61,1666929600000,457504
137.78,134.97,138.38,132.97,1667188800000,402621
138.11,135.43,139.25,135.19,1667275200000,374869
138.5,132.19,142.1,132.1124,1667361600000,574395
130.43,134.21,137.81,129.56,1667448000000,409161
139.86,141.56,142.29,136.97,1667534400000,509022
142.28,143.01,144.12,139.54,1667797200000,352055
148.01,146.02,148.9101,142.16,1667883600000,535637
141.615,137.76,142.11,137.5901,1667970000000,425251
148,157.5,157.73,145.47,1668056400000,660098
158.075,163.27,163.89,154.82,1668142800000,594839
162.18,162.95,165.4,159.22,1668402000000,455947
167.215,166.66,169.98,163.82,1668488400000,480284
161.615,159.1,163.62,158.73,1668574800000,559750
157.15,156.77,162.66,155.35,1668661200000,609687
159.66,154.09,160.02,151.2001,1668747600000,407362
151.47,153.17,154.77,150.8,1669006800000,331835
153.28,160.38,160.5757,151.216,1669093200000,379050
160.98,165.19,165.27,160.4801,1669179600000,375319
163.18,162.7,164.87,161.72,1669352400000,150015
160.26,158.27,163.57,157.25,1669611600000,281581
158.27,156.39,159.32,155.2,1669698000000,258547
156.97,169.23,169.3,155.97,1669784400000,452393
169.99,171.35,172.65,166.35,1669870800000,508850
166.59,168.76,169.3257,164.45,1669957200000,476275
166.79,166.1,169.95,164.7201,1670216400000,437686
165.3,159.87,165.73,158.19,1670302800000,449699
157.72,161.2,161.86,156.67,1670389200000,353119
162.73,171.69,171.79,159.59,1670475600000,471681
171.6,170.01,175.83,169.75,1670562000000,458765
170.37,175.35,175.38,167.97,1670821200000,423422
