Open,Closed,Highest,lowest,Timestamp,Trading volume
27.4,26.89,27.595,26.62,1664251200000,220617
26.86,27.13,27.28,26.6,1664337600000,182520
26.78,26.38,26.78,26.185,1664424000000,203748
26.3,25.77,26.57,25.74,1664510400000,210896
26.33,26.97,27.25,26.065,1664769600000,219931
27.425,27.7,27.795,27.09,1664856000000,199615
27.365,27.64,27.84,26.89,1664942400000,144811
27.44,27.18,27.76,27,1665028800000,169622
26.17,25.72,26.275,25.651,1665115200000,254668
25.94,25.2,25.99,25.09,1665374400000,215229
25.01,25.04,25.48,24.69,1665460800000,234814
25.05,25.33,25.52,24.66,1665547200000,186044
24.725,26.42,26.835,24.59,1665633600000,285292
26.46,25.91,26.63,25.76,1665720000000,227053
26.31,26.42,26.75,26.1713,1665979200000,174604
26.74,25.87,26.955,25.54,1666065600000,236529
25.735,26,26.25,25.69,1666152000000,154039
26.15,26.08,26.95,25.945,1666238400000,162011
25.85,26.97,27.05,25.79,1666324800000,204667
26.75,27.18,27.48,26.52,1666584000000,218374
27.18,27.41,27.555,27,1666670400000,160589
27.19,27.21,27.8,26.99,1666756800000,186748
27.45,26.27,27.59,26.13,1666843200000,285961
28.175,29.07,29.2186,27.86,1666929600000,452348
29.08,28.43,29.18,28.05,1667188800000,259966
28.8,28.3,28.85,27.89,1667275200000,235070
28.27,27.42,28.85,27.41,1667361600000,252544
27.45,27.39,27.88,27.17,1667448000000,201917
27.57,28.2,28.235,27.41,1667534400000,210943
28.36,28.41,28.465,27.89,1667797200000,162647
28.755,28.48,28.95,27.93,1667883600000,176454
28.22,27.52,28.3,27.52,1667970000000,145217
28.88,29.76,29.83,28.645,1668056400000,252012
28.925,30.43,30.63,28.87,1668142800000,247747
30.34,30.35,30.99,30.18,1668402000000,182952
31.095,30.71,31.335,30.165,1668488400000,211340
30.1101,29.53,30.23,29.44,1668574800000,162678
29.065,29.89,29.95,29,1668661200000,161847
30.26,29.87,30.26,29.61,1668747600000,119001
29.66,28.94,29.715,28.91,1669006800000,159477
29.135,29.82,29.86,29.0558,1669093200000,120213
29.73,29.67,30.08,29.49,1669179600000,125641
29.68,29.34,29.68,29.335,1669352400000,67105
29.1,28.725,29.19,28.54,1669611600000,148956
28.85,28.9,29.18,28.74,1669698000000,124156
28.77,30.07,30.08,28.22,1669784400000,228699
30.24,29.83,30.48,29.52,1669870800000,182092
29.17,29.41,29.43,28.71,1669957200000,187596
29.42,29.17,29.75,28.89,1670216400000,157984
29.19,28.6,29.31,28.3436,1670302800000,145722
28.28,28.33,28.55,28.15,1670389200000,137380
28.32,28.44,28.6,28.065,1670475600000,141059
28.39,28.24,28.78,28.19,1670562000000,136482
28.13,28.69,28.71,27.8588,1670821200000,142556
